Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
eu,USD,8.99,13.99,8.99,35.38,12,-
aca.pro,USD,156.25,156.25,156.25,329.9,-,-
travel,USD,30.99,143.74,143.74,269.9,-,-
co.ag,USD,62.5,65,65,249.9,-,-
com.ag,USD,62.5,65,65,249.9,-,-
vu,USD,78.13,78.13,78.13,243.75,-,-
edu.pl,USD,24.99,-,24.99,50.91,-,-
si,USD,39.99,39.99,39.99,99.65,-,-
com.ai,USD,-,199.8,199.8,419.9,-,-
co.id,USD,59.9,59.9,59.9,-,-,-
marketing,USD,8.99,39.99,39.99,134.9,-,-
jobs,USD,151.25,151.07,151.25,260,-,-
de.com,USD,18.51,18.51,18.51,104.9,-,-
uk.com,USD,32.95,32.95,32.95,119.9,-,-
eu.com,USD,18.51,18.51,18.51,104.9,-,-
br.com,USD,41.25,41.25,41.25,144.9,-,-
co.at,USD,23.32,-,23.32,41.36,-,-
com.au,USD,15.93,-,15.93,39.02,-,-
cm,USD,105.63,-,105.63,-,-,-
com.cm,USD,106.25,-,106.25,-,-,-
com.cn,USD,25.29,24.03,25.29,214.9,1,-
org.cn,USD,26.99,26.99,26.99,214.9,1,-
be,USD,13.34,13.34,13.34,80.19,-,-
cl,USD,58.29,53.56,58.29,83.98,-,-
bz,USD,24.5,24.5,24.5,179.9,-,-
com.bz,USD,24.5,24.5,24.5,179.9,-,-
cx,USD,27.5,27.5,27.5,136,-,-
cz,USD,15.99,-,15.99,58.43,-,-
dk,USD,17.59,-,17.59,78.92,-,-
ca,USD,14.9,14.9,14.9,58.45,-,-
ec,USD,87.5,87.5,87.5,193.7,-,-
ru.com,USD,169.9,169.9,169.9,279.9,-,-
us.com,USD,18.75,18.75,18.75,109.9,-,-
cn.com,USD,23.4,45.5,45.5,139.9,1,-
sa.com,USD,359,357,359,440.7,-,-
gr.com,USD,18.85,18.85,18.85,99.9,-,-
co.com,USD,32,32,32,119.9,-,-
associates,USD,21.99,37.49,37.49,129.9,-,-
capital,USD,9.99,68.74,68.74,169.9,-,-
creditcard,USD,6.99,156.25,156.25,329.9,-,-
financial,USD,18.99,56.24,56.24,154.9,-,-
industries,USD,17.51,43.74,43.74,134.9,-,-
investments,USD,12.5,124.99,124.99,239.9,-,-
