Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
online,USD,1.99,34.37,34.37,169.9,-,-
flowers,USD,125,125,125,299.9,-,-
site,USD,0.99,34.37,34.37,169.9,-,-
fashion,USD,32.49,32.49,32.49,134.9,-,-
fit,USD,32.49,32.49,32.49,119.9,-,-
garden,USD,32.49,32.49,32.49,119.9,-,-
miami,USD,23.39,23.39,23.39,119.9,-,-
wedding,USD,32.49,32.49,32.49,134.9,-,-
watch,USD,6.99,42.49,42.49,134.9,-,-
rip,USD,6.49,22.49,22.49,109.9,-,-
parts,USD,15.99,39.99,39.99,129.9,-,-
guitars,USD,125,125,125,299.9,-,-
equipment,USD,12.52,27.49,27.49,109.9,-,-
cards,USD,7.99,37.49,37.49,129.9,-,-
football,USD,12.52,24.99,24.99,114.9,-,-
forex,USD,12.5,99.99,99.99,156,-,-
fyi,USD,14.99,19.5,19.5,104.9,-,-
game,USD,375,375.02,375.02,699.9,-,-
games,USD,18.77,32.49,32.49,119.9,-,-
gmbh,USD,34.99,34.99,34.99,134.9,-,-
golf,USD,6.99,62.49,62.49,164.9,-,-
hockey,USD,9.99,57.49,57.49,154.9,-,-
hospital,USD,54.99,55.01,55.01,169.9,-,-
jewelry,USD,12.5,62.49,62.49,164.9,-,-
kyoto,USD,80.23,226.93,80.23,276.29,-,-
lat,USD,32.9,30.9,32.9,97.5,-,-
law,USD,110,110.02,110.02,292.5,-,-
legal,USD,6.99,68.74,68.74,169.9,-,-
fun,USD,0.99,37.49,37.49,169.9,-,-
boston,USD,23.39,23.39,23.39,119.9,-,-
bible,USD,165.3,165.11,165.3,273.29,-,-
baby,USD,18.75,62.5,62.5,199.9,-,-
organic,USD,12.5,82.49,82.49,189.9,-,-
storage,USD,609,609,609,1.099,-,-
org.ms,USD,64.75,44.63,64.75,155.4,-,-
luxe,USD,19.99,19.99,19.99,89.9,-,-
observer,USD,11.99,11.99,11.99,99.9,-,-
live,USD,3.99,31.24,31.24,119.9,-,-
loans,USD,12.52,112.49,112.49,229.9,-,-
kep.tr,TRY,89.9,-,99.9,-,-,-
courses,USD,38.99,38.99,38.99,264.9,-,-
select,USD,-,-,-,-,-,-
lotto,USD,1900,1900,1900,2779.9,-,-
org.bh,USD,-,-,-,-,-,-
reit,USD,-,-,-,-,-,-
ltd,USD,10.99,29.99,29.99,119.9,-,-
makeup,USD,1.99,14.99,14.99,119.9,-,-
markets,USD,6.99,18.74,18.74,99.9,-,-
mba,USD,12.5,37.49,37.49,129.9,-,-
melbourne,USD,60.68,60.68,60.68,349.9,-,-
memorial,USD,55,55,55,149.9,-,-
mom,USD,1.99,32.52,32.52,149.9,-,-
money,USD,12.99,33.77,33.77,129.9,-,-
movie,USD,43.75,337.49,337.49,540,-,-
ngo,USD,29,29.02,29.02,109.9,-,-
one,USD,30.24,29.99,30.24,176,-,-
onl,USD,3.99,28.99,28.99,69.9,-,-
film,USD,-,-,-,-,-,-
eco,USD,-,-,-,-,-,-
pet,USD,13.99,25.89,25.89,109.9,-,-
ruhr,USD,-,-,-,-,-,-
protection,USD,2500,2500,2500,4099.9,-,-
net.cn,USD,24.99,24.99,24.99,178.75,-,-
rent,USD,18.75,62.5,62.5,199.9,-,-
sale,USD,6.99,37.49,37.49,129.9,-,-
id.au,USD,-,-,-,-,-,-
compare,USD,32.49,32.49,32.49,304.9,-,-
nrw,USD,57.42,57.42,57.42,384.9,-,-
salon,USD,12.99,54.99,54.99,159.9,-,-
diy,USD,4.99,40.01,40.01,199.9,-,-
security,USD,2500,2500,2500,4099.9,-,-
lifestyle,USD,4.99,39.99,39.99,199.9,-,-
food,USD,4.99,40.01,40.01,199.9,-,-
living,USD,4.99,39.99,39.99,199.9,-,-
music,USD,49.9,49.92,49.92,144.3,-,-
best,USD,18.75,18.75,18.75,109.9,-,-
show,USD,11.27,42.49,42.49,134.9,-,-
ski,USD,25.99,62.49,62.49,159.9,-,-
soccer,USD,12.5,24.99,24.99,109.9,-,-
srl,USD,43.9,43.9,43.9,129.9,-,-
stream,USD,29.99,30.01,30.01,119.9,-,-
studio,USD,16.51,38.77,38.77,129.9,-,-
study,USD,38.99,38.99,38.99,264.9,-,-
style,USD,23.49,37.49,37.49,129.9,-,-
sydney,USD,80.5,80.5,80.5,349.9,-,-
taipei,USD,23.4,23.37,23.4,-,-,-
taxi,USD,9.99,59.99,59.99,164.9,-,-
giving,USD,26.88,26.88,26.88,119.9,-,-
tennis,USD,56.99,57.5,57.5,169.9,-,-
inc,USD,2500,2500,2500,4079.9,-,-
theater,USD,12.5,62.49,62.49,159.9,-,-
ong,USD,42.99,42.99,42.99,149.9,-,-
theatre,USD,800,800,800,1.099,-,-
tickets,USD,437.5,437.5,437.5,799.9,-,-
tires,USD,9.99,87.5,87.5,219.9,-,-
tirol,USD,63.79,58.79,63.79,201.77,-,-
tours,USD,9.99,59.99,59.99,159.9,-,-
trading,USD,17.99,17.5,17.5,109.9,-,-
tube,USD,35.06,33.26,35.06,153,-,-
spa,USD,26,32.9,32.9,199.9,-,-
video,USD,9.99,34.99,34.99,129.9,-,-
frl,USD,39.99,39.99,39.99,249.9,-,-
vin,USD,7.5,57.49,57.49,159.9,-,-
sbs,USD,1.99,18.99,18.99,184.9,-,-
forum,USD,4.99,59.99,59.99,159.9,-,-
quest,USD,1.99,14.99,14.99,119.9,-,-
beauty,USD,1.99,14.99,14.99,119.9,-,-
voto,USD,19.99,67.5,67.5,189.9,-,-
hair,USD,1.99,14.99,14.99,119.9,-,-
wales,USD,16.99,16.99,16.99,44.16,-,-
cyou,USD,1.99,18.99,18.99,184.9,-,-
wine,USD,6.99,57.49,57.49,154.9,-,-
abogado,USD,26,26,26,119.9,-,-
skin,USD,1.99,14.99,14.99,119.9,-,-
health,USD,77.99,77.99,77.99,195,-,-
saarland,USD,24.3,24.3,24.3,234.9,-,-
feedback,USD,379,379,379,715,-,-
realty,USD,109.9,353.6,353.6,639.9,-,-
gay,USD,38.99,38.99,38.99,299.9,-,-
fans,USD,9.99,9.99,9.99,114.9,-,-
contact,USD,13.99,13.75,13.75,99.9,-,-
bond,USD,1.99,18.99,18.99,184.9,-,-
bank,USD,1237.39,1235.13,1237.39,1299.14,-,-
homes,USD,1.99,14.99,14.99,119.9,-,-
yachts,USD,1.99,14.99,14.99,119.9,-,-
autos,USD,1.99,14.99,14.99,119.9,-,-
boats,USD,1.99,14.99,14.99,119.9,-,-
charity,USD,33,33,33,124.9,-,-
llc,USD,14.99,41.25,41.25,129.9,-,-
cat,USD,41.07,41.07,41.07,-,-,-
navy,USD,34.99,34.99,34.99,134.9,-,-
airforce,USD,35.99,35.99,35.99,129.9,-,-
monster,USD,1.99,14.99,14.99,119.9,-,-
desi,USD,17.99,17.99,17.99,224.9,-,-
coop,USD,89.99,90.01,90.01,119.9,-,-
icu,USD,3.99,18.99,18.99,184.9,-,-
love,USD,9.99,26,26,219.9,-,-
gy,USD,43.75,43.75,43.75,88.92,-,-
ie,USD,34.33,34.33,34.33,179.26,-,-
lu,USD,30.79,28.51,30.79,211.9,-,-
co.in,USD,5.69,5.69,5.69,64.9,-,-
net.in,USD,7.49,7.49,7.49,64.9,-,-
org.in,USD,7.49,7.49,7.49,64.9,-,-
tr,TRY,159,-,169.9,-,-,-
atakdomain-ga,USD,-,-,-,-,-,-
ru,USD,39.9,39.9,49.9,498,-,-
express,USD,10.99,37.49,37.49,129.9,-,-
es,USD,11.95,11.95,11.95,47.17,-,-
it,USD,19.99,19.99,19.99,52.36,15,-
ag,USD,93.75,93.75,93.75,299.9,-,-
as,USD,-,-,135,109.2,-,-
at,USD,18.29,-,18.29,36.47,-,-
am,USD,41.25,40.51,41.25,83.85,-,-
ch,USD,17.88,-,17.88,64.68,-,-
机构,USD,14.99,14.99,14.99,26.81,-,-
البحرين,USD,-,-,-,-,-,-
av.tr,TRY,89.9,-,99.9,-,-,-
lc,USD,26,26,26,184.9,-,-
com.de,USD,8.53,8.53,8.53,169.9,-,-
army,USD,12.99,37.49,37.49,129.9,-,-
com.ge,USD,29,29,29,13.39,-,-
com.mk,USD,26.99,26.99,26.99,74.75,-,-
asia,USD,14.99,16.27,16.27,104.9,-,-
management,USD,9.99,24.99,24.99,109.9,-,-
zone,USD,9.99,37.49,37.49,129.9,-,-
ooo,USD,25.99,29.99,29.99,199.9,-,-
commotorcycles,USD,-,-,-,-,-,-
testxxx1,USD,15,15,15,15,-,15
tn,USD,11.96,-,-,-,-,-
ee,USD,-,-,-,-,-,-
cf,USD,-,-,-,-,-,-
st,USD,24.7,24.7,24.7,61.75,-,-
co.il,USD,43.49,43.49,43.49,81.74,-,-
sk,USD,42.5,42.5,42.5,106.24,-,-
org.br,USD,34.9,-,34.9,39.1,-,-
net.br,USD,24.9,-,24.9,31.54,-,-
kz,USD,19.49,19.49,19.49,-,-,-
it.com,USD,4.99,31.99,31.99,99,-,-
pvt.ge,USD,29,-,29,-,-,-
motorcycles,USD,-,-,-,-,-,-
org.ge,USD,29,-,29,-,-,-
cfd,USD,1.99,18.99,18.99,184.9,-,-
fr,USD,14.99,14.99,14.99,52.83,30,-
org.kz,USD,19.49,19.49,19.49,120,-,-
com.kz,USD,19.49,19.49,19.49,120,-,-
